MolName,VibrationMode,nu,n,g,theta,VibAmplCoeff,omega,P0,ID
N2,nu,2331,69881621959800,1,3353.78890146167,0.0354,439079180339694,0.333333333333333,N2nu
H2O,nu1,3657,109634101890600,1,5261.60704103189,0.9539,688851378164848,0.666666666666667,H2Onu1
H2O,nu2,1596,47846876296800,1,2296.28789649628,0.9527,300630790142493,0.666666666666667,H2Onu2
H2O,nu3,3756,112602047224800,1,5404.04595190477,0.9241,707499528681205,0.666666666666667,H2Onu3
CH4,nu1,2915,87389501507000,1,4194.03459792397,0.9921,549084431870531,0.666666666666667,CH4nu1
CH4,nu2,1534,45988163057200,2,2207.08373009103,0.9921,288952150425178,0.666666666666667,CH4nu2
CH4,nu3,3019,90507343070200,1,4343.66739318438,0.9923,568674408170543,0.666666666666667,CH4nu3
CH4,nu4,1306,39152895014800,3,1879.04260202014,0.8368,246004894690536,0.666666666666667,CH4nu4
CO2,nu1,1341,40202168617800,1,1929.39979273278,0.018,252597675176117,0.333333333333333,CO2nu1
CO2,nu2,667,19996156948600,2,959.664177295124,0.018,125639559539501,0.666666666666667,CO2nu2
CO2,nu3,2349,70421248384200,1,3379.68688525674,0.018,442469753160850,0.333333333333333,CO2nu3
O2,nu,1554,46587747973200,1,2235.85926764111,0.0625,292719453559796,0.333333333333333,O2nu
Ar,none,0,0,0,0,0,0,0,Arnone
SO2,nu1,525,15739104045000,2,755.357860689565,0.0533,98891707283714.8,0.666666666666667,SO2nu1
SO2,nu2,1150,34476132670000,1,1654.59340912952,0.0544,216619930240518,0.333333333333333,SO2nu2
SO2,nu3,1360,40771774288000,1,1956.73655340535,0.0491,256176613154004,0.333333333333333,SO2nu3
He,none,0,0,0,0,0,0,0,Henone
